sensor_id,timestamp,container_id,shipment_id,route_id,temperature_c,humidity_percent,vibration_level,door_status,gps_latitude,gps_longitude,battery_percent,network_signal
1,2026-01-01 00:01:00,C353,SH03493,R004,9.1,85,5.2,OPEN,23.177264,73.73445,67,Strong
2,2026-01-01 00:02:00,C060,SH02254,R088,7.4,76,1.2,OPEN,22.680846,72.516914,62,Weak
3,2026-01-01 00:03:00,C455,SH04112,R089,7.5,65,4.7,OPEN,20.67096,73.90367,76,Strong
4,2026-01-01 00:04:00,C402,SH02728,R045,12.1,84,2.5,OPEN,21.321868,71.628262,100,Strong
5,2026-01-01 00:05:00,C422,SH01812,R037,2.8,86,6.3,OPEN,22.080653,70.295719,49,Medium
6,2026-01-01 00:06:00,C438,SH00323,R060,11.4,65,1.7,CLOSED,23.69058,72.376222,89,Strong
7,2026-01-01 00:07:00,C448,SH03527,R016,10.5,70,3.7,CLOSED,20.023529,73.234043,54,Medium
8,2026-01-01 00:08:00,C160,SH03198,R016,5.1,89,7.6,CLOSED,23.953301,73.524315,48,Medium
9,2026-01-01 00:09:00,C049,SH01902,R061,4.7,83,1.0,OPEN,23.015545,73.881497,41,Weak
10,2026-01-01 00:10:00,C337,SH00602,R013,8.9,75,7.9,CLOSED,21.941704,72.666783,62,Weak
11,2026-01-01 00:11:00,C301,SH03330,R096,5.8,77,2.9,OPEN,20.569645,73.14253,80,Strong
12,2026-01-01 00:12:00,C038,SH04617,R013,8.6,95,1.0,CLOSED,22.323799,71.428062,41,Strong
13,2026-01-01 00:13:00,C052,SH01260,R027,14.8,89,6.5,CLOSED,21.658297,70.599989,52,Strong
14,2026-01-01 00:14:00,C189,SH02338,R085,9.3,65,2.7,OPEN,20.437983,71.269765,21,Medium
15,2026-01-01 00:15:00,C420,SH01539,R006,13.6,69,4.8,CLOSED,21.52014,70.865686,93,Weak
16,2026-01-01 00:16:00,C065,SH00981,R018,2.2,95,6.6,OPEN,20.38137,70.443792,89,Weak
17,2026-01-01 00:17:00,C013,SH02891,R029,13.6,64,1.0,OPEN,23.412227,73.42797,45,Weak
18,2026-01-01 00:18:00,C172,SH00397,R011,4.2,80,1.7,OPEN,21.037437,72.40593,96,Medium
19,2026-01-01 00:19:00,C451,SH02859,R054,10.1,71,6.4,OPEN,22.980229,72.070874,52,Weak
20,2026-01-01 00:20:00,C077,SH04979,R048,3.1,86,2.5,CLOSED,22.295299,73.671595,59,Medium
21,2026-01-01 00:21:00,C147,SH02057,R010,7.5,72,1.3,OPEN,20.07992,72.800834,83,Strong
