sensor_id,timestamp,container_id,shipment_id,route_id,product,temperature_c,humidity_percent,vibration_level,door_status,city,gps_latitude,gps_longitude,battery_percent,network_signal,outside_temperature,rainfall_mm,wind_speed
1,2026-07-16 12:30:00,C182,SH3995,R027,Potato,11.23,62,5.42,CLOSED,Pune,23.0031,72.709156,92,Strong,27.01,1.77,11.14
2,2026-07-16 12:30:00,C010,SH1863,R081,Onion,15.13,90,5.38,OPEN,Pune,20.834891,71.904973,85,Weak,22.69,31.82,6.58
3,2026-07-16 12:30:00,C466,SH9269,R026,Onion,9.71,89,3.91,CLOSED,Mumbai,22.525191,71.658522,94,Strong,36.5,38.3,8.47
4,2026-07-16 12:30:01,C369,SH1867,R037,Tomato,7.27,61,3.63,OPEN,Jaipur,20.36314,70.644816,63,Medium,30.46,26.24,2.88
5,2026-07-16 12:30:01,C395,SH1675,R061,Orange,13.14,78,3.1,OPEN,Jaipur,22.915949,71.386369,78,Weak,23.97,14.05,21.12
6,2026-07-16 12:30:01,C427,SH9798,R099,Tomato,10.28,82,3.84,OPEN,Delhi,21.819954,70.637377,94,Medium,38.29,1.58,6.01
7,2026-07-16 12:30:01,C199,SH5415,R029,Onion,12.22,66,4.89,CLOSED,Pune,21.232382,73.261554,52,Medium,31.5,21.56,3.71
8,2026-07-16 12:30:01,C173,SH9306,R055,Onion,5.21,86,4.17,OPEN,Mumbai,22.631573,70.677136,59,Medium,31.98,33.12,21.18
9,2026-07-16 12:30:02,C247,SH2816,R041,Onion,5.65,94,0.92,CLOSED,Jaipur,21.292279,72.474341,82,Medium,34.44,19.95,18.89
10,2026-07-16 12:30:02,C078,SH4977,R032,Banana,17.38,80,5.4,OPEN,Delhi,20.038288,73.599951,65,Strong,26.32,37.38,22.57
11,2026-07-16 12:30:02,C169,SH5411,R073,Apple,16.81,80,4.12,CLOSED,Jaipur,22.719014,71.1362,80,Weak,35.47,5.85,0.12
12,2026-07-16 12:30:02,C427,SH5761,R070,Onion,3.55,88,5.9,OPEN,Ahmedabad,20.041307,70.044184,65,Weak,29.51,18.48,14.3
13,2026-07-16 12:30:02,C491,SH1946,R027,Orange,11.96,82,5.63,CLOSED,Delhi,23.304717,72.807027,54,Weak,19.82,30.49,18.63
14,2026-07-16 12:30:03,C421,SH4100,R062,Grapes,10.96,66,0.01,CLOSED,Delhi,23.929714,71.690375,64,Weak,18.21,31.3,16.19
15,2026-07-16 12:30:03,C152,SH8011,R050,Grapes,9.52,89,2.21,OPEN,Mumbai,21.490244,72.320621,96,Strong,33.86,4.55,7.13
16,2026-07-16 12:30:03,C288,SH6774,R096,Orange,14.76,74,3.7,CLOSED,Mumbai,21.143699,71.774042,67,Weak,38.74,6.39,2.88
17,2026-07-16 12:30:03,C248,SH6790,R052,Grapes,6.53,73,1.94,OPEN,Mumbai,21.129024,73.235479,76,Medium,34.06,11.17,18.92
18,2026-07-16 12:30:03,C184,SH3438,R083,Apple,17.01,84,1.14,CLOSED,Jaipur,20.916728,72.517491,85,Strong,35.47,0.03,18.4
19,2026-07-16 12:30:04,C121,SH8893,R022,Orange,11.25,92,3.66,OPEN,Delhi,20.009657,70.443179,83,Strong,25.32,4.43,15.94
20,2026-07-16 12:30:04,C067,SH5859,R057,Tomato,5.66,69,4.22,OPEN,Ahmedabad,21.553724,71.535449,53,Strong,24.21,27.78,0.77
21,2026-07-16 12:30:04,C371,SH9734,R081,Orange,7.43,65,5.24,CLOSED,Mumbai,21.618715,70.373131,58,Medium,30.49,1.57,10.93
22,2026-07-16 12:30:04,C474,SH8561,R070,Potato,17.19,82,4.33,OPEN,Ahmedabad,21.715902,71.570176,80,Medium,29.01,31.03,0.21
23,2026-07-16 12:30:05,C304,SH3382,R077,Onion,4.76,74,3.33,OPEN,Pune,22.615576,70.812565,48,Strong,20.45,13.22,13.74
24,2026-07-16 12:30:05,C317,SH7991,R070,Grapes,7.28,88,2.73,OPEN,Pune,22.72763,71.194982,45,Medium,36.36,33.49,11.78
25,2026-07-16 12:30:05,C322,SH6800,R010,Strawberry,16.97,92,4.74,CLOSED,Pune,23.262149,71.931647,73,Strong,37.31,2.87,13.72
26,2026-07-16 12:30:05,C190,SH2461,R088,Avocado,7.35,93,1.43,OPEN,Pune,21.862611,71.337798,52,Medium,20.14,28.6,19.63
27,2026-07-16 12:30:05,C171,SH9386,R091,Strawberry,11.17,65,3.44,CLOSED,Pune,22.196613,71.939095,69,Weak,37.06,17.01,22.17
28,2026-07-16 12:30:06,C339,SH7783,R071,Strawberry,6.44,88,5.57,OPEN,Pune,20.611163,71.187026,50,Weak,18.46,7.18,21.31
29,2026-07-16 12:30:06,C027,SH5441,R075,Onion,11.66,68,5.94,CLOSED,Surat,23.665953,72.166168,86,Medium,27.22,9.52,4.43
