shipment_id,container_id,product_id,quantity_kg,origin_city,destination_city,dispatch_time,expected_delivery,driver_id,transport_company
SH00001,C098,AVO001,1113,Surat,Nagpur,2026-01-01 01:00:00,2026-01-01 12:00:00,D0310,TransGo
SH00002,C455,AVO001,1146,Nagpur,Bengaluru,2026-01-01 02:00:00,2026-01-02 03:00:00,D0290,TransGo
SH00003,C211,AVO001,1610,Nagpur,Jaipur,2026-01-01 03:00:00,2026-01-02 06:00:00,D0646,TransGo
SH00004,C158,AVO001,1426,Vadodara,Pune,2026-01-01 04:00:00,2026-01-02 04:00:00,D0455,TransGo
SH00005,C072,AVO001,1626,Pune,Vadodara,2026-01-01 05:00:00,2026-01-02 09:00:00,D0010,FastMove
SH00006,C377,AVO001,1854,Bengaluru,Surat,2026-01-01 06:00:00,2026-01-02 01:00:00,D0431,FastMove
SH00007,C145,AVO001,1849,Surat,Mumbai,2026-01-01 07:00:00,2026-01-01 17:00:00,D0005,FastMove
SH00008,C138,AVO001,1451,Vadodara,Delhi,2026-01-01 08:00:00,2026-01-02 12:00:00,D0768,FastMove
SH00009,C394,AVO001,1189,Jaipur,Indore,2026-01-01 09:00:00,2026-01-02 18:00:00,D0120,FastMove
SH00010,C182,AVO001,796,Jaipur,Pune,2026-01-01 10:00:00,2026-01-01 18:00:00,D0177,FastMove
SH00011,C189,AVO001,760,Bengaluru,Vadodara,2026-01-01 11:00:00,2026-01-02 08:00:00,D0265,TransGo
SH00012,C148,AVO001,1361,Vadodara,Jaipur,2026-01-01 12:00:00,2026-01-02 06:00:00,D0796,FastMove
SH00013,C111,AVO001,1965,Indore,Jaipur,2026-01-01 13:00:00,2026-01-02 19:00:00,D0436,BlueLog
SH00014,C033,AVO001,765,Ahmedabad,Pune,2026-01-01 14:00:00,2026-01-02 05:00:00,D0748,BlueLog
SH00015,C053,AVO001,1018,Pune,Indore,2026-01-01 15:00:00,2026-01-02 23:00:00,D0102,FastMove
SH00016,C333,AVO001,1981,Pune,Surat,2026-01-01 16:00:00,2026-01-02 02:00:00,D0438,TransGo
SH00017,C489,AVO001,604,Nagpur,Ahmedabad,2026-01-01 17:00:00,2026-01-02 18:00:00,D0433,FastMove
SH00018,C025,AVO001,1834,Mumbai,Nagpur,2026-01-01 18:00:00,2026-01-02 23:00:00,D0430,TransGo
SH00019,C380,AVO001,742,Vadodara,Vadodara,2026-01-01 19:00:00,2026-01-02 08:00:00,D0492,TransGo
SH00020,C440,AVO001,597,Ahmedabad,Mumbai,2026-01-01 20:00:00,2026-01-03 07:00:00,D0400,BlueLog
SH00021,C343,AVO001,1416,Vadodara,Nagpur,2026-01-01 21:00:00,2026-01-02 20:00:00,D0403,BlueLog
SH00022,C311,AVO001,1481,Mumbai,Pune,2026-01-01 22:00:00,2026-01-02 18:00:00,D0629,TransGo
SH00023,C104,AVO001,842,Nagpur,Vadodara,2026-01-01 23:00:00,2026-01-02 20:00:00,D0762,TransGo
SH00024,C148,AVO001,1508,Nagpur,Ahmedabad,2026-01-02 00:00:00,2026-01-03 09:00:00,D0778,TransGo
SH00025,C173,AVO001,1495,Mumbai,Surat,2026-01-02 01:00:00,2026-01-03 09:00:00,D0747,TransGo
SH00026,C178,AVO001,1951,Vadodara,Surat,2026-01-02 02:00:00,2026-01-03 03:00:00,D0641,FastMove
SH00027,C154,AVO001,706,Ahmedabad,Nagpur,2026-01-02 03:00:00,2026-01-02 19:00:00,D0277,TransGo
SH00028,C127,AVO001,1343,Pune,Pune,2026-01-02 04:00:00,2026-01-02 20:00:00,D0200,FastMove
SH00029,C288,AVO001,1790,Bengaluru,Surat,2026-01-02 05:00:00,2026-01-03 06:00:00,D0624,TransGo
SH00030,C077,AVO001,1347,Vadodara,Vadodara,2026-01-02 06:00:00,2026-01-03 05:00:00,D0713,FastMove
SH00031,C137,AVO001,1506,Ahmedabad,Indore,2026-01-02 07:00:00,2026-01-03 02:00:00,D0614,FastMove
SH00032,C124,AVO001,1193,Pune,Bengaluru,2026-01-02 08:00:00,2026-01-03 16:00:00,D0186,TransGo
SH00033,C451,AVO001,1688,Indore,Nagpur,2026-01-02 09:00:00,2026-01-02 21:00:00,D0060,TransGo
SH00034,C167,AVO001,1582,Pune,Ahmedabad,2026-01-02 10:00:00,2026-01-03 04:00:00,D0638,FastMove
SH00035,C246,AVO001,1175,Mumbai,Pune,2026-01-02 11:00:00,2026-01-03 23:00:00,D0144,TransGo
SH00036,C132,AVO001,960,Mumbai,Nagpur,2026-01-02 12:00:00,2026-01-03 22:00:00,D0720,BlueLog
SH00037,C289,AVO001,852,Mumbai,Ahmedabad,2026-01-02 13:00:00,2026-01-03 15:00:00,D0205,TransGo
SH00038,C291,AVO001,1851,Vadodara,Jaipur,2026-01-02 14:00:00,2026-01-03 08:00:00,D0005,BlueLog
SH00039,C421,AVO001,1125,Bengaluru,Ahmedabad,2026-01-02 15:00:00,2026-01-03 01:00:00,D0761,BlueLog
SH00040,C144,AVO001,1894,Delhi,Vadodara,2026-01-02 16:00:00,2026-01-03 19:00:00,D0737,TransGo
SH00041,C195,AVO001,547,Mumbai,Delhi,2026-01-02 17:00:00,2026-01-03 12:00:00,D0143,BlueLog
SH00042,C129,AVO001,793,Bengaluru,Surat,2026-01-02 18:00:00,2026-01-03 13:00:00,D0080,BlueLog
SH00043,C372,AVO001,711,Vadodara,Delhi,2026-01-02 19:00:00,2026-01-03 10:00:00,D0276,TransGo
SH00044,C026,AVO001,1240,Surat,Mumbai,2026-01-02 20:00:00,2026-01-03 08:00:00,D0409,FastMove
SH00045,C479,AVO001,1974,Ahmedabad,Mumbai,2026-01-02 21:00:00,2026-01-04 02:00:00,D0337,FastMove
